Book Code,Title,Category,Price,Pages
1000,Animal Farm,Roman A clef,8390.53,3963
1001,A Clockwork Orange,Science Fiction,4053.65,11223
1002,The Plague,Existentialism,2741.57,5958
1003,A Fire Upon the Deep,Hard science fiction,913.34,344
1004,All Quiet on the Western Front,War novel,4559.23,1224
1005,A Wizard of Earthsea,Children's literature,8858.31,7628
1006,Blade Runner 3: Replicant Night,Science Fiction,2556.93,1503
1007,Blade Runner 2: The Edge of Human,Science Fiction,2859.45,7573
1008,Book of Job,Religious text,2142.02,6559
1009,Crash,Speculative fiction,710.84,3856
1010,Children of Dune,Science Fiction,9899.15,3001
1011,"Candide, ou l'Optimisme",Satire,4614.41,11385
1012,Chapterhouse Dune,Science Fiction,4441.34,3161
1013,Carmilla,Gothic fiction,1822.53,11606
1014,The Cider House Rules,Fiction,8572.75,11656
1015,Dracula,Science Fiction,9875.40,8760
1016,Don Quixote,Parody,4118.11,5841
1017,Dune Messiah,Science Fiction,7275.79,6870
1018,Darwin's Dangerous Idea,Philosophy,3949.45,11082
1019,Death of a Hero,Fiction,6633.40,9273
1020,Exodus,Religious text,1841.31,3126
1021,The Trial,Fiction,1273.71,2922
1022,The Metamorphosis,Children's literature,2849.01,2193
1023,Fahrenheit 451,Science Fiction,4550.71,9861
1024,Farmer Giles of Ham,Fantasy,8489.14,5243
1025,Gaudy Night,Mystery,6052.91,11863
1026,God Emperor of Dune,Science Fiction,4882.87,5803
1027,Genesis,Religious text,7460.68,11031
1028,Gone with the Wind,Historical fiction,2360.51,5645
1029,Heart of Darkness,Fiction,2472.88,327
1030,Heretics of Dune,Science Fiction,2362.55,8371
1031,Adventures of Huckleberry Finn,Satire,7009.10,4114
1032,Ivanhoe,Historical fiction,8192.83,11185
1033,Johnny Got His Gun,Fiction,5600.98,5144
1034,Icehenge,Science Fiction,3646.95,8334
1035,Microserfs,Epistolary novel,9974.41,2153
1036,"Moby-Dick; or, The Whale",Sea story,784.38,1830
1037,Moonfleet,Adventure novel,7495.79,2632
1038,Neuromancer,Cyberpunk,1508.64,5537
1039,Cryptonomicon,Fiction,9770.88,2208
1040,No Logo,Business,9340.79,208
1041,The Three Stigmata of Palmer Eldritch,Science Fiction,1011.46,5268
1042,Time out of Joint,Science Fiction,7054.74,7258
1043,A Scanner Darkly,Science Fiction,8688.35,9857
1044,Radio Free Albemuth,Science Fiction,7324.00,7920
1045,Pride and Prejudice,Satire,4584.48,9157
1046,Pale Fire,Fiction,4354.55,6784
1047,Rosencrantz & Guildenstern Are Dead,Absurdist fiction,3211.51,11327
